Index;PartNumber;Material;ID_nom;OD_nom;Len;Weight;ID_pic;OD_pic
13650;7000000020155;Max H-Pur | FDA;0.0;20.0;155;0.064;;
13651;7000000025155;Max H-Pur | FDA;0.0;25.0;155;0.099;;
13652;7000000031155;Max H-Pur | FDA;0.0;31.0;155;0.152;;
13653;7000000038155;Max H-Pur | FDA;0.0;38.0;155;0.229;;
13654;7000000046155;Max H-Pur | FDA;0.0;46.0;155;0.335;;
13655;7000000054155;Max H-Pur | FDA;0.0;54.0;155;0.461;;
13656;7000000062155;Max H-Pur | FDA;0.0;62.0;155;0.608;;
13657;7000000080155;Max H-Pur | FDA;0.0;80.0;155;1.011;;
13658;7000000090155;Max H-Pur | FDA;0.0;90.0;155;1.28;;
13659;7000080031155;Max H-Pur | FDA;8.0;31.0;155;0.143;;
13660;7000080038155;Max H-Pur | FDA;8.0;38.0;155;0.219;;
13661;7000080042155;Max H-Pur | FDA;8.0;42.0;155;0.27;;
13662;7000080046155;Max H-Pur | FDA;8.0;46.0;155;0.325;;
13663;7000130031155;Max H-Pur | FDA;13.0;31.0;155;0.127;;
13664;7000130038155;Max H-Pur | FDA;13.0;38.0;155;0.203;;
13665;7000130042155;Max H-Pur | FDA;13.0;42.0;155;0.254;;
13666;7000130046155;Max H-Pur | FDA;13.0;46.0;155;0.309;;
13667;7000130055155;Max H-Pur | FDA;13.0;55.0;155;0.453;;
13668;7000180038155;Max H-Pur | FDA;18.0;38.0;155;0.18;;
13669;7000180042155;Max H-Pur | FDA;18.0;42.0;155;0.23;;
13670;7000180046155;Max H-Pur | FDA;18.0;46.0;155;0.286;;
13671;7000180049155;Max H-Pur | FDA;18.0;49.0;155;0.331;;
13672;7000180052155;Max H-Pur | FDA;18.0;52.0;155;0.379;;
13673;7000180055155;Max H-Pur | FDA;18.0;55.0;155;0.43;;
13674;7000220038155;Max H-Pur | FDA;22.0;38.0;155;0.156;;
13675;7000220042155;Max H-Pur | FDA;22.0;42.0;155;0.206;;
13676;7000220046155;Max H-Pur | FDA;22.0;46.0;155;0.262;;
13677;7000220049155;Max H-Pur | FDA;22.0;49.0;155;0.307;;
13678;7000220052155;Max H-Pur | FDA;22.0;52.0;155;0.355;;
13679;7000220055155;Max H-Pur | FDA;22.0;55.0;155;0.406;;
13680;7000220059155;Max H-Pur | FDA;22.0;59.0;155;0.478;;
13681;7000220062155;Max H-Pur | FDA;22.0;62.0;155;0.535;;
13682;7000220065155;Max H-Pur | FDA;22.0;65.0;155;0.595;;
13683;7000220084155;Max H-Pur | FDA;22.0;84.0;155;1.042;;
13684;7000250042155;Max H-Pur | FDA;25.0;42.0;155;0.185;;
13685;7000250046155;Max H-Pur | FDA;25.0;46.0;155;0.241;;
13686;7000250049155;Max H-Pur | FDA;25.0;49.0;155;0.286;;
13687;7000250052155;Max H-Pur | FDA;25.0;52.0;155;0.334;;
13688;7000250055155;Max H-Pur | FDA;25.0;55.0;155;0.384;;
13689;7000250059155;Max H-Pur | FDA;25.0;59.0;155;0.456;;
13690;7000250062155;Max H-Pur | FDA;25.0;62.0;155;0.514;;
13691;7000250065155;Max H-Pur | FDA;25.0;65.0;155;0.574;;
13692;7000250070155;Max H-Pur | FDA;25.0;70.0;155;0.681;;
13693;7000250074155;Max H-Pur | FDA;25.0;74.0;155;0.772;;
13694;7000250090155;Max H-Pur | FDA;25.0;90.0;155;1.186;;
13695;7000280046155;Max H-Pur | FDA;28.0;46.0;155;0.217;;
13696;7000280049155;Max H-Pur | FDA;28.0;49.0;155;0.262;;
13697;7000280052155;Max H-Pur | FDA;28.0;52.0;155;0.31;;
13698;7000280055155;Max H-Pur | FDA;28.0;55.0;155;0.36;;
13699;7000280059155;Max H-Pur | FDA;28.0;59.0;155;0.432;;
13700;7000280062155;Max H-Pur | FDA;28.0;62.0;155;0.49;;
13701;7000280065155;Max H-Pur | FDA;28.0;65.0;155;0.55;;
13702;7000280070155;Max H-Pur | FDA;28.0;70.0;155;0.657;;
13703;7000280076155;Max H-Pur | FDA;28.0;76.0;155;0.795;;
13704;7000300049155;Max H-Pur | FDA;30.0;49.0;155;0.244;;
13705;7000300052155;Max H-Pur | FDA;30.0;52.0;155;0.292;;
13706;7000300055155;Max H-Pur | FDA;30.0;55.0;155;0.343;;
13707;7000300059155;Max H-Pur | FDA;30.0;59.0;155;0.415;;
13708;7000300062155;Max H-Pur | FDA;30.0;62.0;155;0.472;;
13709;7000300065155;Max H-Pur | FDA;30.0;65.0;155;0.533;;
13710;7000300070155;Max H-Pur | FDA;30.0;70.0;155;0.639;;
13711;7000300076155;Max H-Pur | FDA;30.0;76.0;155;0.778;;
13712;7000300080155;Max H-Pur | FDA;30.0;80.0;155;0.876;;
13713;7000300084155;Max H-Pur | FDA;30.0;84.0;155;0.98;;
13714;7000300087155;Max H-Pur | FDA;30.0;87.0;155;1.061;;
13715;7000300090155;Max H-Pur | FDA;30.0;90.0;155;1.145;;
13716;7000340055155;Max H-Pur | FDA;34.0;55.0;155;0.3;;
13717;7000340062155;Max H-Pur | FDA;34.0;62.0;155;0.43;;
13718;7000370055155;Max H-Pur | FDA;37.0;55.0;155;0.272;;
13719;7000370059155;Max H-Pur | FDA;37.0;59.0;155;0.344;;
13720;7000370062155;Max H-Pur | FDA;37.0;62.0;155;0.402;;
13721;7000370065155;Max H-Pur | FDA;37.0;65.0;155;0.462;;
13722;7000370072155;Max H-Pur | FDA;37.0;72.0;155;0.613;;
13723;7000370076155;Max H-Pur | FDA;37.0;76.0;155;0.707;;
13724;7000370080155;Max H-Pur | FDA;37.0;80.0;155;0.806;;
13725;7000370084155;Max H-Pur | FDA;37.0;84.0;155;0.909;;
13726;7000370087155;Max H-Pur | FDA;37.0;87.0;155;0.99;;
13727;7000370090155;Max H-Pur | FDA;37.0;90.0;155;1.074;;
13728;7000370096155;Max H-Pur | FDA;37.0;96.0;155;1.25;;
13729;7000370103155;Max H-Pur | FDA;37.0;103.0;155;1.47;;
13730;7000370110155;Max H-Pur | FDA;37.0;110.0;155;1.706;;
13731;7000400059155;Max H-Pur | FDA;40.0;59.0;155;0.31;;
13732;7000400062155;Max H-Pur | FDA;40.0;62.0;155;0.367;;
13733;7000400065155;Max H-Pur | FDA;40.0;65.0;155;0.427;;
13734;7000400070155;Max H-Pur | FDA;40.0;70.0;155;0.534;;
13735;7000400074155;Max H-Pur | FDA;40.0;74.0;155;0.625;;
13736;7000400079155;Max H-Pur | FDA;40.0;79.0;155;0.746;;
13737;7000400084155;Max H-Pur | FDA;40.0;84.0;155;0.874;;
13738;7000400087155;Max H-Pur | FDA;40.0;87.0;155;0.955;;
13739;7000400090155;Max H-Pur | FDA;40.0;90.0;155;1.039;;
13740;7000400094155;Max H-Pur | FDA;40.0;94.0;155;1.156;;
13741;7000440062155;Max H-Pur | FDA;44.0;62.0;155;0.316;;
13742;7000440065155;Max H-Pur | FDA;44.0;65.0;155;0.377;;
13743;7000440070155;Max H-Pur | FDA;44.0;70.0;155;0.483;;
13744;7000440074155;Max H-Pur | FDA;44.0;74.0;155;0.574;;
13745;7000440079155;Max H-Pur | FDA;44.0;79.0;155;0.695;;
13746;7000440084155;Max H-Pur | FDA;44.0;84.0;155;0.824;;
13747;7000440087155;Max H-Pur | FDA;44.0;87.0;155;0.905;;
13748;7000440090155;Max H-Pur | FDA;44.0;90.0;155;0.989;;
13749;7000440094155;Max H-Pur | FDA;44.0;94.0;155;1.105;;
13750;7000440103155;Max H-Pur | FDA;44.0;103.0;155;1.385;;
13751;7000470065155;Max H-Pur | FDA;47.0;65.0;155;0.336;;
13752;7000470070155;Max H-Pur | FDA;47.0;70.0;155;0.442;;
13753;7000470072155;Max H-Pur | FDA;47.0;72.0;155;0.487;;
13754;7000470076155;Max H-Pur | FDA;47.0;76.0;155;0.581;;
13755;7000470079155;Max H-Pur | FDA;47.0;79.0;155;0.654;;
13756;7000470084155;Max H-Pur | FDA;47.0;84.0;155;0.783;;
13757;7000470087155;Max H-Pur | FDA;47.0;87.0;155;0.864;;
13758;7000470090155;Max H-Pur | FDA;47.0;90.0;155;0.948;;
13759;7000470094155;Max H-Pur | FDA;47.0;94.0;155;1.064;;
13760;7000470103155;Max H-Pur | FDA;47.0;103.0;155;1.344;;
13761;7000470110155;Max H-Pur | FDA;47.0;110.0;155;1.58;;
13762;7000510070155;Max H-Pur | FDA;51.0;70.0;155;0.383;;
13763;7000510074155;Max H-Pur | FDA;51.0;74.0;155;0.474;;
13764;7000510079155;Max H-Pur | FDA;51.0;79.0;155;0.595;;
13765;7000510084155;Max H-Pur | FDA;51.0;84.0;155;0.724;;
13766;7000510087155;Max H-Pur | FDA;51.0;87.0;155;0.805;;
13767;7000510090155;Max H-Pur | FDA;51.0;90.0;155;0.889;;
13768;7000510094155;Max H-Pur | FDA;51.0;94.0;155;1.005;;
13769;7000510103155;Max H-Pur | FDA;51.0;103.0;155;1.285;;
13770;7000510110155;Max H-Pur | FDA;51.0;110.0;155;1.521;;
13771;7000510118155;Max H-Pur | FDA;51.0;118.0;155;1.809;;
13772;7000540074155;Max H-Pur | FDA;54.0;74.0;155;0.427;;
13773;7000540079155;Max H-Pur | FDA;54.0;79.0;155;0.548;;
13774;7000540084155;Max H-Pur | FDA;54.0;84.0;155;0.676;;
13775;7000540087155;Max H-Pur | FDA;54.0;87.0;155;0.757;;
13776;7000540090155;Max H-Pur | FDA;54.0;90.0;155;0.841;;
13777;7000540094155;Max H-Pur | FDA;54.0;94.0;155;0.958;;
13778;7000540103155;Max H-Pur | FDA;54.0;103.0;155;1.238;;
13779;7000540110155;Max H-Pur | FDA;54.0;110.0;155;1.473;;
13780;7000540118155;Max H-Pur | FDA;54.0;118.0;155;1.761;;
13781;7000560076155;Max H-Pur | FDA;56.0;76.0;155;0.441;;
13782;7000560079155;Max H-Pur | FDA;56.0;79.0;155;0.515;;
13783;7000560082155;Max H-Pur | FDA;56.0;82.0;155;0.591;;
13784;7000560087155;Max H-Pur | FDA;56.0;87.0;155;0.724;;
13785;7000560090155;Max H-Pur | FDA;56.0;90.0;155;0.808;;
13786;7000560094155;Max H-Pur | FDA;56.0;94.0;155;0.925;;
13787;7000560103155;Max H-Pur | FDA;56.0;103.0;155;1.205;;
13788;7000560110155;Max H-Pur | FDA;56.0;110.0;155;1.44;;
13789;7000560118155;Max H-Pur | FDA;56.0;118.0;155;1.728;;
13790;7000560126155;Max H-Pur | FDA;56.0;126.0;155;2.037;;
13791;7000600079155;Max H-Pur | FDA;60.0;79.0;155;0.445;;
13792;7000600084155;Max H-Pur | FDA;60.0;84.0;155;0.574;;
13793;7000600087155;Max H-Pur | FDA;60.0;87.0;155;0.655;;
13794;7000600090155;Max H-Pur | FDA;60.0;90.0;155;0.738;;
13795;7000600094155;Max H-Pur | FDA;60.0;94.0;155;0.855;;
