Index;PartNumber;Material;ID_nom;OD_nom;Len;Weight;ID_pic;OD_pic
1;1000000020155;H-Pur | FDA;0.0;20.0;155;0.076;;
2;1000000025155;H-Pur | FDA;0.0;25.0;155;0.119;;
3;1000000031155;H-Pur | FDA;0.0;31.0;155;0.182;;
4;1000000038155;H-Pur | FDA;0.0;38.0;155;0.274;;
5;1000000046155;H-Pur | FDA;0.0;46.0;155;0.401;;
6;1000000054155;H-Pur | FDA;0.0;54.0;155;0.552;;
7;1000000062155;H-Pur | FDA;0.0;62.0;155;0.727;;
8;1000000080155;H-Pur | FDA;0.0;80.0;155;1.211;;
9;1000000090155;H-Pur | FDA;0.0;90.0;155;1.532;;
10;1000080031155;H-Pur | FDA;8.0;31.0;155;0.171;;
11;1000080038155;H-Pur | FDA;8.0;38.0;155;0.262;;
12;1000080042155;H-Pur | FDA;8.0;42.0;155;0.323;;
13;1000080046155;H-Pur | FDA;8.0;46.0;155;0.389;;
14;1000130031155;H-Pur | FDA;13.0;31.0;155;0.152;;
15;1000130038155;H-Pur | FDA;13.0;38.0;155;0.243;;
16;1000130042155;H-Pur | FDA;13.0;42.0;155;0.304;;
17;1000130046155;H-Pur | FDA;13.0;46.0;155;0.37;;
18;1000130055155;H-Pur | FDA;13.0;55.0;155;0.542;;
19;1000180038155;H-Pur | FDA;18.0;38.0;155;0.215;;
20;1000180042155;H-Pur | FDA;18.0;42.0;155;0.276;;
21;1000180046155;H-Pur | FDA;18.0;46.0;155;0.342;;
22;1000180049155;H-Pur | FDA;18.0;49.0;155;0.396;;
23;1000180052155;H-Pur | FDA;18.0;52.0;155;0.453;;
24;1000180055155;H-Pur | FDA;18.0;55.0;155;0.514;;
25;1000220038155;H-Pur | FDA;22.0;38.0;155;0.186;;
26;1000220042155;H-Pur | FDA;22.0;42.0;155;0.247;;
27;1000220046155;H-Pur | FDA;22.0;46.0;155;0.313;;
28;1000220049155;H-Pur | FDA;22.0;49.0;155;0.367;;
29;1000220052155;H-Pur | FDA;22.0;52.0;155;0.424;;
30;1000220055155;H-Pur | FDA;22.0;55.0;155;0.485;;
31;1000220059155;H-Pur | FDA;22.0;59.0;155;0.571;;
32;1000220062155;H-Pur | FDA;22.0;62.0;155;0.64;;
33;1000220065155;H-Pur | FDA;22.0;65.0;155;0.712;;
34;1000220084155;H-Pur | FDA;22.0;84.0;155;1.247;;
35;1000250042155;H-Pur | FDA;25.0;42.0;155;0.221;;
36;1000250046155;H-Pur | FDA;25.0;46.0;155;0.288;;
37;1000250049155;H-Pur | FDA;25.0;49.0;155;0.342;;
38;1000250052155;H-Pur | FDA;25.0;52.0;155;0.399;;
39;1000250055155;H-Pur | FDA;25.0;55.0;155;0.46;;
40;1000250059155;H-Pur | FDA;25.0;59.0;155;0.546;;
41;1000250062155;H-Pur | FDA;25.0;62.0;155;0.614;;
42;1000250065155;H-Pur | FDA;25.0;65.0;155;0.687;;
43;1000250070155;H-Pur | FDA;25.0;70.0;155;0.814;;
44;1000250074155;H-Pur | FDA;25.0;74.0;155;0.923;;
45;1000250090155;H-Pur | FDA;25.0;90.0;155;1.419;;
46;1000280046155;H-Pur | FDA;28.0;46.0;155;0.259;;
47;1000280049155;H-Pur | FDA;28.0;49.0;155;0.313;;
48;1000280052155;H-Pur | FDA;28.0;52.0;155;0.37;;
49;1000280055155;H-Pur | FDA;28.0;55.0;155;0.431;;
50;1000280059155;H-Pur | FDA;28.0;59.0;155;0.517;;
51;1000280062155;H-Pur | FDA;28.0;62.0;155;0.586;;
52;1000280065155;H-Pur | FDA;28.0;65.0;155;0.658;;
53;1000280070155;H-Pur | FDA;28.0;70.0;155;0.785;;
54;1000280076155;H-Pur | FDA;28.0;76.0;155;0.951;;
55;1000300049155;H-Pur | FDA;30.0;49.0;155;0.292;;
56;1000300052155;H-Pur | FDA;30.0;52.0;155;0.349;;
57;1000300055155;H-Pur | FDA;30.0;55.0;155;0.41;;
58;1000300059155;H-Pur | FDA;30.0;59.0;155;0.496;;
59;1000300062155;H-Pur | FDA;30.0;62.0;155;0.565;;
60;1000300065155;H-Pur | FDA;30.0;65.0;155;0.637;;
61;1000300070155;H-Pur | FDA;30.0;70.0;155;0.764;;
62;1000300076155;H-Pur | FDA;30.0;76.0;155;0.93;;
63;1000300080155;H-Pur | FDA;30.0;80.0;155;1.048;;
64;1000300084155;H-Pur | FDA;30.0;84.0;155;1.172;;
65;1000300087155;H-Pur | FDA;30.0;87.0;155;1.269;;
66;1000300090155;H-Pur | FDA;30.0;90.0;155;1.37;;
67;1000370055155;H-Pur | FDA;37.0;55.0;155;0.325;;
68;1000370059155;H-Pur | FDA;37.0;59.0;155;0.411;;
69;1000370062155;H-Pur | FDA;37.0;62.0;155;0.48;;
70;1000370065155;H-Pur | FDA;37.0;65.0;155;0.552;;
71;1000370072155;H-Pur | FDA;37.0;72.0;155;0.733;;
72;1000370076155;H-Pur | FDA;37.0;76.0;155;0.845;;
73;1000370080155;H-Pur | FDA;37.0;80.0;155;0.963;;
74;1000370084155;H-Pur | FDA;37.0;84.0;155;1.087;;
75;1000370087155;H-Pur | FDA;37.0;87.0;155;1.184;;
76;1000370090155;H-Pur | FDA;37.0;90.0;155;1.285;;
77;1000370096155;H-Pur | FDA;37.0;96.0;155;1.496;;
78;1000370103155;H-Pur | FDA;37.0;103.0;155;1.759;;
79;1000370110155;H-Pur | FDA;37.0;110.0;155;2.041;;
80;1000400059155;H-Pur | FDA;40.0;59.0;155;0.37;;
81;1000400062155;H-Pur | FDA;40.0;62.0;155;0.438;;
82;1000400065155;H-Pur | FDA;40.0;65.0;155;0.51;;
83;1000400070155;H-Pur | FDA;40.0;70.0;155;0.638;;
84;1000400074155;H-Pur | FDA;40.0;74.0;155;0.747;;
85;1000400079155;H-Pur | FDA;40.0;79.0;155;0.892;;
86;1000400084155;H-Pur | FDA;40.0;84.0;155;1.046;;
87;1000400087155;H-Pur | FDA;40.0;87.0;155;1.143;;
88;1000400090155;H-Pur | FDA;40.0;90.0;155;1.243;;
89;1000400094155;H-Pur | FDA;40.0;94.0;155;1.382;;
90;1000440062155;H-Pur | FDA;44.0;62.0;155;0.378;;
91;1000440065155;H-Pur | FDA;44.0;65.0;155;0.45;;
92;1000440070155;H-Pur | FDA;44.0;70.0;155;0.577;;
93;1000440074155;H-Pur | FDA;44.0;74.0;155;0.686;;
94;1000440079155;H-Pur | FDA;44.0;79.0;155;0.831;;
95;1000440084155;H-Pur | FDA;44.0;84.0;155;0.985;;
96;1000440087155;H-Pur | FDA;44.0;87.0;155;1.082;;
97;1000440090155;H-Pur | FDA;44.0;90.0;155;1.182;;
98;1000440094155;H-Pur | FDA;44.0;94.0;155;1.322;;
99;1000440103155;H-Pur | FDA;44.0;103.0;155;1.657;;
100;1000470065155;H-Pur | FDA;47.0;65.0;155;0.4;;
101;1000470070155;H-Pur | FDA;47.0;70.0;155;0.528;;
102;1000470072155;H-Pur | FDA;47.0;72.0;155;0.582;;
103;1000470076155;H-Pur | FDA;47.0;76.0;155;0.694;;
104;1000470079155;H-Pur | FDA;47.0;79.0;155;0.782;;
105;1000470084155;H-Pur | FDA;47.0;84.0;155;0.936;;
